dex	method	class	invokeCount	status	literals	matches
classes4.dex	Lcom/nothing/algolib/superportrait/SuperPortraitUtil;-><clinit>()V	com.nothing.algolib.superportrait.SuperPortraitUtil	1	PACKAGED_LIBRARY_MATCH	superPortrait	superPortrait|lib/arm64-v8a/libsuperPortrait.so
classes4.dex	Lcom/nothing/algolib/superresolution/RawSuperResolutionUtil;-><clinit>()V	com.nothing.algolib.superresolution.RawSuperResolutionUtil	1	PACKAGED_LIBRARY_MATCH	superResolutionRaw	superResolutionRaw|lib/arm64-v8a/libsuperResolutionRaw.so
classes4.dex	Lcom/nothing/algolib/superresolution/SuperResolutionUtil;-><clinit>()V	com.nothing.algolib.superresolution.SuperResolutionUtil	1	PACKAGED_LIBRARY_MATCH	SuperResolutionUtil,superResolution	superResolution|lib/arm64-v8a/libsuperResolution.so
classes4.dex	Lcom/nothing/algolib/turbonight/TurboNightUtil;-><clinit>()V	com.nothing.algolib.turbonight.TurboNightUtil	1	PACKAGED_LIBRARY_MATCH	turboNightFront,turbonight	turboNightFront|lib/arm64-v8a/libturboNightFront.so;turbonight|lib/arm64-v8a/libturbonight.so
classes4.dex	Lcom/nothing/algolib/watermark/WaterMarkUtil;-><clinit>()V	com.nothing.algolib.watermark.WaterMarkUtil	1	PACKAGED_LIBRARY_MATCH	waterMark	waterMark|lib/arm64-v8a/libwaterMark.so
classes4.dex	Lcom/nothing/camera/mode/strater/RaterUtils;-><clinit>()V	com.nothing.camera.mode.strater.RaterUtils	1	PACKAGED_LIBRARY_MATCH	jni_rater_api,stmobile_rater,vendor.camera.rater.debug.enabled,vendor.camera.rater.dump.enabled,vendor.camera.rater.enabled,yyyyMMdd-HHmmss	jni_rater_api|lib/arm64-v8a/libjni_rater_api.so
classes4.dex	Lcom/nothing/camera/mode/strater/STMRaterImpl;-><clinit>()V	com.nothing.camera.mode.strater.STMRaterImpl	1	PACKAGED_LIBRARY_MATCH	jni_rater_api,stmobile_rater	jni_rater_api|lib/arm64-v8a/libjni_rater_api.so
classes5.dex	Lcom/nothing/common/AWSClient;-><clinit>()V	com.nothing.common.AWSClient	1	PACKAGED_LIBRARY_MATCH	AWS	AWS|lib/arm64-v8a/libAWS.so
classes5.dex	Lcom/nothing/common/CloudFrontFileAccess;-><clinit>()V	com.nothing.common.CloudFrontFileAccess	1	PACKAGED_LIBRARY_MATCH	AWS	AWS|lib/arm64-v8a/libAWS.so
classes5.dex	Lcom/nothing/common/motion/libyuv/util/YuvUtil;-><clinit>()V	com.nothing.common.motion.libyuv.util.YuvUtil	1	NO_EXACT_PACKAGED_LIBRARY_LITERAL_MATCH	yuvutil	
classes5.dex	Lcom/nothing/common/refocus/DCBokeh_Native;-><clinit>()V	com.nothing.common.refocus.DCBokeh_Native	1	NO_EXACT_PACKAGED_LIBRARY_LITERAL_MATCH	dcbokeh_jni	
classes5.dex	Lcom/nothing/common/shortlink/RetrofitClient;-><clinit>()V	com.nothing.common.shortlink.RetrofitClient	1	PACKAGED_LIBRARY_MATCH	AWS	AWS|lib/arm64-v8a/libAWS.so
classes5.dex	Lcom/nothing/common/storage/DngTimeEditor;-><clinit>()V	com.nothing.common.storage.DngTimeEditor	1	PACKAGED_LIBRARY_MATCH	dngtimeeditor	dngtimeeditor|lib/arm64-v8a/libdngtimeeditor.so
classes5.dex	Lcom/nothing/common/utils/YuvImageEx;-><clinit>()V	com.nothing.common.utils.YuvImageEx	1	NO_EXACT_PACKAGED_LIBRARY_LITERAL_MATCH	YuvImageEx,yuv_jpeg_converter_jni	
classes5.dex	Lcom/nothing/media/camera/yuv/YuvUtil;-><clinit>()V	com.nothing.media.camera.yuv.YuvUtil	1	PACKAGED_LIBRARY_MATCH	localyuvutil	localyuvutil|lib/arm64-v8a/liblocalyuvutil.so
classes5.dex	Lcom/nothing/yuvutils/YuvUtils;-><clinit>()V	com.nothing.yuvutils.YuvUtils	1	PACKAGED_LIBRARY_MATCH	yuvutils	yuvutils|lib/arm64-v8a/libyuvutils.so
classes5.dex	Lcom/sensetime/renderlib/LoadLibraries;->loadOnce()V	com.sensetime.renderlib.LoadLibraries	1	PACKAGED_LIBRARY_MATCH	render_lib	render_lib|lib/arm64-v8a/librender_lib.so
classes5.dex	Lcom/zxingcpp/BarcodeReader;-><init>(Lcom/zxingcpp/BarcodeReader$Options;)V	com.zxingcpp.BarcodeReader	1	PACKAGED_LIBRARY_MATCH	options,zxingcpp_android	zxingcpp_android|lib/arm64-v8a/libzxingcpp_android.so
classes5.dex	Lcom/zxingcpp/BarcodeWriter;-><init>()V	com.zxingcpp.BarcodeWriter	1	PACKAGED_LIBRARY_MATCH	zxingcpp_android	zxingcpp_android|lib/arm64-v8a/libzxingcpp_android.so
classes6.dex	Lio/netty/util/internal/NativeLibraryUtil;->loadLibrary(Ljava/lang/String;Z)V	io.netty.util.internal.NativeLibraryUtil	1	NO_EXACT_PACKAGED_LIBRARY_LITERAL_MATCH		
classes6.dex	Lnet/jpountz/util/Native;->load()V	net.jpountz.util.Native	1	NO_EXACT_PACKAGED_LIBRARY_LITERAL_MATCH	.,.lck,LZ4JAVA_KEEP_TEMP_JNI_LIB,liblz4-java-,lz4-java,lz4java.jnilib.temp.keep,true	
classes6.dex	Lorg/tensorflow/lite/TensorFlowLite;->init()Z	org.tensorflow.lite.TensorFlowLite	1	PACKAGED_LIBRARY_MATCH	tensorflowlite_jni	tensorflowlite_jni|lib/arm64-v8a/libtensorflowlite_jni.so
